dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000200,0.020000,1.000000,50.000000,6.283184
0.020000,0.000621,0.000000,0.001000,0.060000,2.000000,50.000000,0.000004
0.020000,0.002221,0.000000,0.002600,0.100000,2.000000,0.000000,0.000016
0.020000,0.004621,0.000000,0.005000,0.140000,2.000000,0.000000,0.000033
0.020000,0.007821,0.000000,0.008200,0.180000,2.000000,-0.000000,0.000056
0.020000,0.011821,0.000000,0.012200,0.220000,2.000000,0.000000,0.000084
0.020000,0.016621,0.000001,0.017000,0.260000,2.000000,0.000000,0.000119
0.020000,0.022221,0.000002,0.022600,0.300000,2.000000,-0.000000,0.000159
0.020000,0.028621,0.000003,0.029000,0.340000,2.000000,0.000000,0.000204
0.020000,0.035821,0.000005,0.036200,0.380000,2.000000,-0.000000,0.000255
0.020000,0.043821,0.000007,0.044200,0.420000,2.000000,0.000000,0.000312
0.020000,0.052621,0.000010,0.053000,0.460000,2.000000,0.000000,0.000375
0.020000,0.062221,0.000014,0.062600,0.500000,2.000000,-0.000000,0.000443
0.020000,0.072621,0.000019,0.073000,0.540000,2.000000,0.000000,0.000517
0.020000,0.083821,0.000025,0.084200,0.580000,2.000000,-0.000000,0.000597
0.020000,0.095821,0.000033,0.096200,0.620000,2.000000,0.000000,0.000682
0.020000,0.108621,0.000042,0.109000,0.660000,2.000000,0.000000,0.000773
0.020000,0.122221,0.000053,0.122600,0.700000,2.000000,-0.000000,0.000869
0.020000,0.136621,0.000066,0.137000,0.740000,2.000000,0.000000,0.000971
0.020000,0.151821,0.000082,0.152200,0.780000,2.000000,0.000000,0.001078
0.020000,0.167821,0.000100,0.168200,0.820000,2.000000,-0.000000,0.001191
0.020000,0.184621,0.000121,0.185000,0.860000,2.000000,0.000000,0.001310
0.020000,0.202221,0.000145,0.202600,0.900000,2.000000,0.000000,0.001434
0.020000,0.220621,0.000173,0.221000,0.940000,2.000000,-0.000000,0.001563
0.020000,0.239821,0.000204,0.240200,0.980000,2.000000,0.000000,0.001698
0.020000,0.259821,0.000240,0.260200,1.020000,2.000000,0.000000,0.001838
0.020000,0.280621,0.000279,0.281000,1.060000,2.000000,0.000000,0.001984
0.020000,0.302221,0.000324,0.302600,1.100000,2.000000,0.000000,0.002135
0.020000,0.324621,0.000373,0.325000,1.140000,2.000000,-0.000000,0.002292
0.020000,0.347821,0.000428,0.348200,1.180000,2.000000,0.000000,0.002453
0.020000,0.371821,0.000489,0.372200,1.220000,2.000000,0.000000,0.002620
0.020000,0.396621,0.000556,0.397000,1.260000,2.000000,0.000000,0.002793
0.020000,0.422221,0.000630,0.422600,1.300000,2.000000,0.000000,0.002970
0.020000,0.448621,0.000711,0.449000,1.340000,2.000000,0.000000,0.003153
0.020000,0.475821,0.000799,0.476200,1.380000,2.000000,-0.000000,0.003341
0.020000,0.503820,0.000896,0.504200,1.420000,2.000000,0.000000,0.003534
0.020000,0.532620,0.001000,0.533000,1.460000,2.000000,0.000000,0.003732
0.020000,0.562220,0.001114,0.562600,1.500000,2.000000,0.000000,0.003936
0.020000,0.592620,0.001236,0.593000,1.540000,2.000000,0.000000,0.004144
0.020000,0.623819,0.001369,0.624200,1.580000,2.000000,0.000000,0.004357
0.020000,0.655819,0.001512,0.656200,1.620000,2.000000,0.000000,0.004575
0.020000,0.688619,0.001666,0.689000,1.660000,2.000000,-0.000000,0.004799
0.020000,0.722218,0.001831,0.722600,1.700000,2.000000,0.000000,0.005027
0.020000,0.756618,0.002008,0.757000,1.740000,2.000000,0.000000,0.005260
0.020000,0.791817,0.002197,0.792200,1.780000,2.000000,0.000000,0.005498
0.020000,0.827817,0.002399,0.828200,1.820000,2.000000,0.000000,0.005740
0.020000,0.864616,0.002615,0.865000,1.860000,2.000000,0.000000,0.005987
0.020000,0.902215,0.002845,0.902600,1.900000,2.000000,-0.000000,0.006239
0.020000,0.940615,0.003090,0.941000,1.940000,2.000000,0.000000,0.006496
0.020000,0.979814,0.003349,0.980200,1.980000,2.000000,0.000000,0.006757
0.020000,1.019613,0.003623,1.020000,2.000000,1.000000,-50.000000,0.007021
0.020000,1.059612,0.003910,1.060000,2.000000,0.000000,-50.000000,0.007286
0.020000,1.099611,0.004206,1.100000,2.000000,0.000000,0.000000,0.007550
0.020000,1.139610,0.004514,1.140000,2.000000,0.000000,0.000000,0.007814
